clients,repeat,start_time,end_time,duration,messages_sent,messages_received
1,1,1728673456,1728673816,360,28972,28972
1,2,1728673816,1728674176,360,20879,20879
1,3,1728674176,1728674538,362,18865,18865
2,1,1728674538,1728674966,428,23979,23979
2,2,1728674966,1728675328,362,45501,45501
2,3,1728675328,1728675688,360,37613,37613
5,1,1728675688,1728676049,361,130915,130915
5,2,1728676049,1728676410,361,131398,131398
5,3,1728676410,1728676770,360,112770,112770
10,1,1728676770,1728677131,361,275558,275558
10,2,1728677131,1728677491,360,325477,325477
10,3,1728677491,1728677851,360,328671,328671
